scope,wave,native,clean_name,clean_label,native_label
pooled:WBES_pooled_establishment.dta,"2011,2019,2023",a0,wbes_questionnaire,WBES 2011-2023: Questionnaire,Questionnaire
pooled:WBES_pooled_establishment.dta,"2006,2011,2019,2023",a1,wbes_country_code,WBES: Country code (33 = Rwanda),Country Code
pooled:WBES_pooled_establishment.dta,2011,a10,wbes_estab_financial_separate,WBES 2011: Establishment's Financial Statements Separate from Other,Establishment's Financial Statements Separate from Other Establishments
pooled:WBES_pooled_establishment.dta,"2011,2019,2023",a11,wbes_hq_financial_statements,"WBES 2011-2023: If Hq, Financial Statements Independent of The Rest of","If Hq, Financial Statements Independent of The Rest of Establishment"
pooled:WBES_pooled_establishment.dta,"2011,2019,2023",a12,wbes_interviewer_number,WBES 2011-2023: Interviewer Number,Interviewer Number
pooled:WBES_pooled_establishment.dta,"2006,2011,2019,2023",a13,wbes_supervisor_number,WBES: Supervisor Number,Supervisor Number
pooled:WBES_pooled_establishment.dta,"2006,2011,2019,2023",a14d,wbes_start_day,WBES: Day the interview started,Day
pooled:WBES_pooled_establishment.dta,"2006,2011,2019,2023",a14h,wbes_start_hour,WBES: Hour the interview started,Hour
pooled:WBES_pooled_establishment.dta,"2006,2011,2019,2023",a14m,wbes_start_month,WBES: Month the interview started,Month
pooled:WBES_pooled_establishment.dta,"2006,2011,2019,2023",a14min,wbes_start_minute,WBES: Minute the interview started,Minutes
pooled:WBES_pooled_establishment.dta,"2011,2019,2023",a14y,wbes_start_year_2011_2023,WBES 2011-2023: Year the interview started,Year
pooled:WBES_pooled_establishment.dta,2019,a15a1a,wbes_option_best_describes,WBES 2019: Option That Best Describes The Main Respondents Position,Option That Best Describes The Main Respondents Position
pooled:WBES_pooled_establishment.dta,"2011,2019",a15a1ax,wbes_respondent_position_main,WBES 2011-2019: Main Respondent Position In The Establishment,Main Respondent Position In The Establishment
pooled:WBES_pooled_establishment.dta,"2011,2019",a15a1bx,wbes_respondent_position_second,WBES 2011-2019: Second Respondent Position In The Establishment,Second Respondent Position In The Establishment
pooled:WBES_pooled_establishment.dta,"2011,2019",a15a1cx,wbes_third_resp_position_estab,WBES 2011-2019: Third Respondent Position In The Establishment,Third Respondent Position In The Establishment
pooled:WBES_pooled_establishment.dta,"2011,2019",a15a2a,wbes_respondent_years_main,WBES 2011-2019: Main Respondent Years Working In The Establishment,Main Respondent Years Working In The Establishment:
pooled:WBES_pooled_establishment.dta,"2011,2019",a15a2b,wbes_respondent_years_second,WBES 2011-2019: Second Respondent Years Working In The Establishment,Second Respondent Years Working In The Establishment:
pooled:WBES_pooled_establishment.dta,"2011,2019",a15a2c,wbes_third_resp_years_working,WBES 2011-2019: Third Respondent Years Working In The Establishment,Third Respondent Years Working In The Establishment:
pooled:WBES_pooled_establishment.dta,"2011,2019",a15a3,wbes_main_respondent_gender,WBES 2011-2019: Main Respondent's Gender,Main Respondent's Gender
pooled:WBES_pooled_establishment.dta,"2011,2019",a15b3,wbes_second_respondent_gender,WBES 2011-2019: Second Respondent's Gender,Second Respondent's Gender
pooled:WBES_pooled_establishment.dta,"2011,2019",a15c3,wbes_third_respondent_gender,WBES 2011-2019: Third Respondent's Gender,Third Respondent's Gender
pooled:WBES_pooled_establishment.dta,"2006,2011,2019,2023",a15d,wbes_end_day,WBES: Day the interview ended,Day
pooled:WBES_pooled_establishment.dta,"2006,2011,2019,2023",a15h,wbes_end_hour,WBES: Hour the interview ended,Hour
pooled:WBES_pooled_establishment.dta,"2006,2011,2019,2023",a15m,wbes_end_month,WBES: Month the interview ended,Month
pooled:WBES_pooled_establishment.dta,"2006,2011,2019,2023",a15min,wbes_end_minute,WBES: Minute the interview ended,Minutes
pooled:WBES_pooled_establishment.dta,"2011,2019,2023",a15y,wbes_end_year_2011_2023,WBES 2011-2023: Year the interview ended,Year
pooled:WBES_pooled_establishment.dta,"2006,2011,2019,2023",a16,wbes_perception_questions,WBES: Perception of The Questions Regarding Opinions And Perceptions,Perception of The Questions Regarding Opinions And Perceptions
pooled:WBES_pooled_establishment.dta,"2006,2011,2019,2023",a17,wbes_responses_questions_figures,WBES: Responses To The Questions About Figures Are,Responses To The Questions About Figures Areâ€¦
pooled:WBES_pooled_establishment.dta,"2006,2011,2019,2023",a18,wbes_questionnaire_completed,WBES: This Questionnaire Was Completed In,This Questionnaire Was Completed In:
pooled:WBES_pooled_establishment.dta,"2006,2011,2019,2023",a19h,wbes_option2_estimate_hours,"WBES: If Option 2 or 3 In A.18, Estimate Duration of The Whole Interview: Hours","If Option 2 or 3 In A.18, Estimate Duration of The Whole Interview: Hours"
pooled:WBES_pooled_establishment.dta,"2006,2011,2019,2023",a19m,wbes_option2_estimate_minutes,"WBES: If Option 2 or 3 In A.18, Estimate Duration of The Whole Interview","If Option 2 or 3 In A.18, Estimate Duration of The Whole Interview: Minutes"
pooled:WBES_pooled_establishment.dta,"2011,2019",a1a,wbes_language_2011_2019,WBES 2011-2019: Language of The Interview,Language of The Interview
pooled:WBES_pooled_establishment.dta,2023,a1a_v2,wbes_language_interview_2023,WBES 2023: Language of The Interview,Language of The Interview
pooled:WBES_pooled_establishment.dta,"2019,2023",a1c,wbes_sample_frame_level,WBES 2019-2023: Sample Frame Level,Sample Frame Level
pooled:WBES_pooled_establishment.dta,"2011,2019,2023",a2,wbes_sampling_region,WBES 2011-2023: Sampling region,Sampling region
pooled:WBES_pooled_establishment.dta,"2019,2023",a20d,wbes_close_day_completed_fiscal,WBES 2019-2023: Close Day of The Last Completed Fiscal Year,Close Day of The Last Completed Fiscal Year
pooled:WBES_pooled_establishment.dta,"2019,2023",a20m,wbes_close_mo_completed_fiscal,WBES 2019-2023: Close Month of The Last Completed Fiscal Year,Close Month of The Last Completed Fiscal Year
pooled:WBES_pooled_establishment.dta,"2019,2023",a20y,wbes_close_year_completed_fiscal,WBES 2019-2023: Close Year of The Last Completed Fiscal Year,Close Year of The Last Completed Fiscal Year
pooled:WBES_pooled_establishment.dta,"2011,2019,2023",a3,wbes_locality_size,WBES 2011-2023: Size of the locality,Size of the locality
pooled:WBES_pooled_establishment.dta,"2006,2011,2019,2023",a3a,wbes_region,WBES: Region of the establishment,Region of the establishment
pooled:WBES_pooled_establishment.dta,"2011,2019,2023",a3b,wbes_official_capital_city,WBES 2011-2023: Official Capital City?,official Capital City?
pooled:WBES_pooled_establishment.dta,"2011,2019,2023",a3c,wbes_main_business_city,WBES 2011-2023: Main Business City?,Main Business City?
pooled:WBES_pooled_establishment.dta,"2011,2019,2023",a4a,wbes_sector_sampling,WBES 2011-2023: Industry sampling sector,Industry sampling sector
pooled:WBES_pooled_establishment.dta,"2011,2019",a4b,wbes_sector_screener,WBES 2011-2019: Industry screener sector,Industry screener sector
pooled:WBES_pooled_establishment.dta,2023,a4b_v4,wbes_industry_screener_sector,WBES 2023: Industry Screener Sector,Industry Screener Sector
pooled:WBES_pooled_establishment.dta,2011,a5,wbes_sector_match_screener_info,WBES 2011: Sector Match Between Screener Information And Sample Frame,Sector Match Between Screener Information And Sample Frame
pooled:WBES_pooled_establishment.dta,"2006,2011,2019,2023",a6a,wbes_size_sampling,WBES: Sampling size class,Sampling size class
pooled:WBES_pooled_establishment.dta,"2006,2011,2019",a6b,wbes_size_screener,WBES 2006-2019: Screener size class,Screener size class
pooled:WBES_pooled_establishment.dta,"2019,2023",a6c,wbes_screener_size,WBES 2019-2023: Screener Size,Screener Size
pooled:WBES_pooled_establishment.dta,"2006,2011,2019,2023",a7,wbes_multi_establishment,WBES: The establishment is part of a multi-establishment firm,Establishment part of a multi-establishment Firm?
pooled:WBES_pooled_establishment.dta,"2011,2019,2023",a7a,wbes_number_establishments_firm,WBES 2011-2023: Number of Establishments In The Firm,Number of Establishments In The Firm
pooled:WBES_pooled_establishment.dta,"2019,2023",a7b,wbes_estab_headquarters_location,WBES 2019-2023: Is This Establishment The Headquarters Location?,Is This Establishment The Headquarters Location?
pooled:WBES_pooled_establishment.dta,"2019,2023",a7c,wbes_headquarters_location,WBES 2019-2023: Does This Headquarters Location Engage In Production or Sales,Does This Headquarters Location Engage In Production or Sales At This Location?
pooled:WBES_pooled_establishment.dta,2011,a8,wbes_type_establishment,WBES 2011: Type Of Establishment,Type Of Establishment
pooled:WBES_pooled_establishment.dta,"2011,2019,2023",a9,wbes_estab_financial_prepared,WBES 2011-2023: Establishment'S Financial Statements Prepared Separately From,Establishment'S Financial Statements Prepared Separately From Hq Statements
pooled:WBES_pooled_establishment.dta,2011,afb3a,wbes_gender_composition_owners,WBES 2011: Gender composition of the owners of the firm,Gender composition of the owners of the firm
pooled:WBES_pooled_establishment.dta,"2006,2011",afb3b,wbes_largest_owner_female,WBES 2006-2011: Is the largest owner female?,Is the largest owner female?
pooled:WBES_pooled_establishment.dta,2011,afb4a,wbes_nationality_origin_largest,WBES 2011: What is the nationality of origin of the current largest owner?,What is the nationality of origin of the current largest owner?
pooled:WBES_pooled_establishment.dta,"2006,2011",afb4a1,wbes_african_nationality_largest,WBES 2006-2011: Main african nationality of largest owner,Main african nationality of largest owner
