scope,wave,native,clean_name,clean_label,native_label
pooled:SAS_pooled_plotcrop.dta,"2022_A,2022_B,2022_C",aweight,sas_area_weight,"SAS 2022: Area weight, NISR derived, no label shipped",
pooled:SAS_pooled_plotcrop.dta,"2022_A,2022_B,2022_C",consum_ratio,sas_share_consumed,"SAS 2022: Share of production consumed by the household, NISR ratio",
pooled:SAS_pooled_plotcrop.dta,"2017_A_lsf,2017_A_ssf,2017_B_lsf,2017_B_ssf,2017_C_ssf,2018_A_lsf,2018_A_ssf,2018_B_lsf,2018_B_ssf,2018_C_ssf,2019_A,2019_B,2019_C,2020_A,2020_B,2020_C,2021_A,2021_B,2021_C,2022_A,2022_B,2022_C,2023_A,2023_B,2023_C,2024_A,2024_B,2024_C,2025_A,2025_B,2025_C",crop,sas_crop,SAS: Crop code of the wave's own list,"Crop code (native list of the wave -- the lists differ before / from 2020; see crop_name, crop_list)"
pooled:SAS_pooled_plotcrop.dta,"2020_A,2020_B,2020_C,2021_A,2021_B,2021_C",crop_area,sas_crop_area_shipped,SAS 2020-2021: Crop area as shipped,Developped crop area in ha
pooled:SAS_pooled_plotcrop.dta,"2017_A_lsf,2017_A_ssf,2017_B_lsf,2017_B_ssf,2017_C_ssf,2018_A_lsf,2018_A_ssf,2018_B_lsf,2018_B_ssf,2018_C_ssf,2019_A,2019_B,2019_C,2020_A,2020_B,2020_C,2021_A,2021_B,2021_C,2022_A,2022_B,2022_C,2023_A,2023_B,2023_C,2024_A,2024_B,2024_C,2025_A,2025_B,2025_C",crop_area_ha,sas_crop_area_ha,SAS: Crop area in hectares,"Crop area on the plot (ha) -- CORE map [from crop_area_ha, ha]"
pooled:SAS_pooled_plotcrop.dta,"2017_A_lsf,2017_A_ssf,2017_B_lsf,2017_C_ssf,2018_B_ssf,2018_C_ssf",crop_group,sas_crop_category_2017_2018,SAS 2017-2018: Crop category,Crop category
pooled:SAS_pooled_plotcrop.dta,2017_B_ssf,crop_group_v2,sas_crop_2017,SAS 2017: Crop name,2.6 Crop name
pooled:SAS_pooled_plotcrop.dta,"2017_A_lsf,2017_A_ssf,2017_B_lsf,2017_B_ssf,2017_C_ssf,2018_A_lsf,2018_A_ssf,2018_B_lsf,2018_B_ssf,2018_C_ssf,2019_A,2019_B,2019_C,2020_A,2020_B,2020_C,2021_A,2021_B,2021_C,2022_A,2022_B,2022_C,2023_A,2023_B,2023_C,2024_A,2024_B,2024_C,2025_A,2025_B,2025_C",crop_list,sas_crop_code_list,SAS: Crop code list generation,"Crop code list generation of crop (2017-2019 vs 2020+; within 2020+ a few codes moved: fruits 414-418 in 2020 B/C, 140/206 from 2022 -- use crop_name for the text)"
pooled:SAS_pooled_plotcrop.dta,"2017_A_lsf,2017_A_ssf,2017_B_lsf,2017_B_ssf,2017_C_ssf,2018_A_lsf,2018_A_ssf,2018_B_lsf,2018_B_ssf,2018_C_ssf,2019_A,2019_B,2019_C,2020_A,2020_B,2020_C,2021_A,2021_B,2021_C,2022_A,2022_B,2022_C,2023_A,2023_B,2023_C,2024_A,2024_B,2024_C,2025_A,2025_B,2025_C",crop_name,sas_crop_name,SAS: Crop name,Crop name (text of the wave's own crop list for crop)
pooled:SAS_pooled_plotcrop.dta,"2022_A,2022_B,2022_C,2023_A,2023_B,2023_C,2024_A,2024_B,2024_C,2025_A,2025_B,2025_C",cropcategory,sas_crop_2022_2025,SAS 2022-2025: Crop name,Q.2.4 Crop name
